customerNumber,componentType,brandName,description,sku,alternateSku,warrantyDays,customerName
102188,OZONE,Sanitization,OZONE GEN. MAAX 120V 103016,59030,103016,0366,MAAX SPAS INDUSTRIES INC - AZ
102188,OZONE,Sanitization,OZONE GEN. MAAX 240V 103005,59031,,0366,MAAX SPAS INDUSTRIES INC - AZ
102188,PANEL,Lighting Components,PANEL SKIRT LIGHT HOUSING ASM,59150-MG,30442123,0366,MAAX SPAS INDUSTRIES INC - AZ
102188,PANEL,Auxiliary 2-button Series,PANEL 400 E2 AUX 4401-2517,51098,101175,1096,MAAX SPAS INDUSTRIES INC - AZ
102188,PANEL,Analog panels,PANEL BALBOA ANALOG COMPLETE,50796,,1096,MAAX SPAS INDUSTRIES INC - AZ
102188,PANEL,Auxiliary AX Series,PANEL BALBOA AX10A3 NO O/L(1),52805,109283,1096,MAAX SPAS INDUSTRIES INC - AZ
102188,PANEL,VL7 Series (for Standard systems),PANEL BALBOA E8 SER STD NO O/L(16),54112-01,107069,1096,MAAX SPAS INDUSTRIES INC - AZ
102188,PANEL,ML5 Series,PANEL BALBOA ML551 NO O/L (16),53503-02,,1096,MAAX SPAS INDUSTRIES INC - AZ
102188,PANEL,TP Series,PANEL BALBOA TP600 NO O/L TPA (16),55676-11,109242,1096,MAAX SPAS INDUSTRIES INC - AZ
102188,PANEL,TP Series,PANEL BALBOA TP800 NO O/L (12),50204-08,,1096,MAAX SPAS INDUSTRIES INC - AZ
102188,PANEL,VL4 Series (for Duplex systems),PANEL BALBOA VL402 SUPDUP E5 NO O/L,51876,107858,1096,MAAX SPAS INDUSTRIES INC - AZ
102188,PANEL,VL7 Series (for Standard systems),PANEL BALBOA VL702S NO O/L,54539-01,108717,1096,MAAX SPAS INDUSTRIES INC - AZ
102188,PANEL,ML9 Series,PANEL LASPAS ML900,55616-03,,1096,MAAX SPAS INDUSTRIES INC - AZ
102188,PANEL,ML9 Series,PANEL LASPAS ML900 EURO,55617-03,,1096,MAAX SPAS INDUSTRIES INC - AZ
102188,PANEL,"Standard Series (Serial-, -Digital)",PANEL MAAX 430 E5 102999,52722,102999,1096,MAAX SPAS INDUSTRIES INC - AZ
102188,PANEL,Digital Series - Lite Digital,PANEL MAAX CAL COOP,53911-01,,1096,MAAX SPAS INDUSTRIES INC - AZ
102188,PANEL,ML7 Series,PANEL MAAX MX700 LED,53886-02,,1096,MAAX SPAS INDUSTRIES INC - AZ
102188,PANEL,ML7 Series,PANEL MAAX MX700T LED,55755-01,,1096,MAAX SPAS INDUSTRIES INC - AZ
102188,PANEL,ML7 Series,PANEL MAAX MX770 107071 LED,54540-01,,1096,MAAX SPAS INDUSTRIES INC - AZ
102188,PANEL,ML7 Series,PANEL MAAX SHARK FIN MX750,53909,103742,1096,MAAX SPAS INDUSTRIES INC - AZ
102188,PANEL,spaTouch,PANEL MAAX SPATOUCH OVAL NO O/L,50461-01,109325,1096,MAAX SPAS INDUSTRIES INC - AZ
102188,PANEL,"Standard Series (Serial-, -Digital)",PANEL MAAXUS 200XL 4401-2475,51906,101140,1096,MAAX SPAS INDUSTRIES INC - AZ
102188,PANEL,"Standard Series (Serial-, -Digital)",PANEL MAAXUS 506 2P4401-2540,50966-01,101067,1096,MAAX SPAS INDUSTRIES INC - AZ
102188,PANEL,"Duplex Series - Digital, Duplex, Super",PANEL MAAXUS 70 3BT 4401-2296,51107,101011,1096,MAAX SPAS INDUSTRIES INC - AZ
102188,PANEL,VL4 Series (for Duplex systems),PANEL MAAXUS VL404 115 101227,52339-02,,1096,MAAX SPAS INDUSTRIES INC - AZ
102188,PUMP,Dura Jet (DJ),DJ AO 1.5HP 2S 43FT A2MB LV BU,DJAYFA-01A3,101293,0366,MAAX SPAS INDUSTRIES INC - AZ
102188,PUMP,Cascades pumps,DJ AO 1.5HPR 2S 43FT A2MB LV BULK,DJAYEA-0153,108898,0366,MAAX SPAS INDUSTRIES INC - AZ
102188,PUMP,Ultima (UL),UL 10.3A 2SP 115V 60Hz,1014205-NHP,,0366,MAAX SPAS INDUSTRIES INC - AZ
102188,PUMP,Ultimax (UM),"UM 2.5HPR 2S 230V 60Hz 56FR 120"" AMP",1016155,,0366,MAAX SPAS INDUSTRIES INC - AZ
102188,PUMP,Ultimax (UM),UM 2SPD 115V 60Hz 53AMP,1016208-NHP,,0366,MAAX SPAS INDUSTRIES INC - AZ
102188,PUMP,Ultimax (UM),"UM 3.0HP 2S 230V 60Hz 56FR 120"" AMP",1016218,,0366,MAAX SPAS INDUSTRIES INC - AZ
102188,PUMP,Ultimax (UM),UM 9.0/1.8A 2SP 230V 50Hz 56FR,1023033-NHP,,0366,MAAX SPAS INDUSTRIES INC - AZ
102188,PUMP,Ultimax (UM),UM AO 2.5HPR 2S 42FT MAX,1016204,103698,0366,MAAX SPAS INDUSTRIES INC - AZ
102188,PUMP,Ultimax (UM),UM AO 2.5HPR IS 023FT A1MAX MB,1016043,106934,0366,MAAX SPAS INDUSTRIES INC - AZ
102188,PUMP,Ultimax (UM),UM AO 3.0HP 2S 42FT MAX,1016205,103699,0366,MAAX SPAS INDUSTRIES INC - AZ
102188,PUMP,Ultimax (UM),"UM EME 12.7/2.2A 2SPD 230V 50Hz 120"" AMP",1023130-NHP,,0366,MAAX SPAS INDUSTRIES INC - AZ
102188,PUMP,Ultimax (UM),"UM EME 12.8A 1S 230V 50Hz 120"" AMP",1023120-NHP,,0366,MAAX SPAS INDUSTRIES INC - AZ
102188,PUMP,Ultimax (UM),UM SI 2.0HP 1S AMP 10 HV 50Hz B,1023023,106939,0366,MAAX SPAS INDUSTRIES INC - AZ
102188,PUMP,Niagara pumps,UM SI 2.0HP 2S 42FT A2MB HV PP,1023012,106940,0366,MAAX SPAS INDUSTRIES INC - AZ
102188,PUMP,Ultimax (UM),UM SI 3.0HP 1S AMP HV 50Hz B,1023334,,0366,MAAX SPAS INDUSTRIES INC - AZ
102188,PUMP,Ultimax (UM),UM SI 3.0HP 2S AMP HV 50Hz B,1023336,109227,0366,MAAX SPAS INDUSTRIES INC - AZ
103498,PANEL,TP Series,PANEL CALSPA CSTP800 4JETS,50463-02,,1096,SUNDANCE SPAS INC - CA
103498,PANEL,TP Series,PANEL CALSPA CSTP800 VELOCITY,50397-02,,1096,SUNDANCE SPAS INC - CA
103498,PANEL,"Standard Series (Serial-, -Digital)",PANEL D1 D1P SS W/O 0/L,51486,01510-151,1096,SUNDANCE SPAS INC - CA
103498,PANEL,"Deluxe Series - Deluxe, Digital-, Serial",PANEL DELUXE DIGITAL (RIBBON C,50799,6500-522,1096,SUNDANCE SPAS INC - CA
103498,PANEL,spaTouch,PANEL JACUZZI BEST+,57218,,1096,SUNDANCE SPAS INC - CA
103498,PANEL,"Duplex Series - Digital, Duplex, Super",PANEL JACWHL H136/H276 E2 AUX DUPLEX,51422,2500-152,1096,SUNDANCE SPAS INC - CA
103498,PANEL,Digital Series - Lite Digital,PANEL JACWHL R604 LITE DIG,52223,2500-154,1096,SUNDANCE SPAS INC - CA
103498,PANEL,VL4 Series (for Duplex systems),PANEL JACWHL VL404 H700/16/17 DGDP,50918,2500-151,1096,SUNDANCE SPAS INC - CA
103498,PANEL,VL8 Series (for Deluxe systems),PANEL JACWHL VL801D K123 E8 SERDLX 7F,51575-01,2500-150,1096,SUNDANCE SPAS INC - CA
103498,PANEL,"Standard Series (Serial-, -Digital)",PANEL THERMO 2000D 7BUT SERSTD,51406-01,51406,1096,SUNDANCE SPAS INC - CA
103498,PANEL,Auxiliary 1-button Series,PANEL THERMO 2000DA SIMPLX AUX,51458,51458,1096,SUNDANCE SPAS INC - CA
103498,PANEL,Auxiliary AX Series,PANEL THERMO AX10A1,53367,TS103,1096,SUNDANCE SPAS INC - CA
103498,PANEL,Auxiliary AX Series,PANEL THERMO AX10A2,53369,TS105,1096,SUNDANCE SPAS INC - CA
103498,PANEL,Auxiliary AX Series,PANEL THERMO AX10A3 PUMP,53368,TS104,1096,SUNDANCE SPAS INC - CA
103498,PANEL,Auxiliary AX Series,PANEL THERMO AX20 E2 P1&LT,53374,TS20,1096,SUNDANCE SPAS INC - CA
103498,PANEL,VL4 Series (for Duplex systems),PANEL THERMO E4 SUPDUP TS500 VL401,53510-01,TS500,1096,SUNDANCE SPAS INC - CA
103498,PANEL,ML2 / MVP2 Series,PANEL THERMO ML200 E3 SWIM,55220,CTP0017,1096,SUNDANCE SPAS INC - CA
103498,PANEL,ML5 Series,PANEL THERMO ML551,53816-02,TS550,1096,SUNDANCE SPAS INC - CA
103498,PANEL,ML7 Series,PANEL THERMO ML700 10FT JET2 LED,53365-02,TS702,1096,SUNDANCE SPAS INC - CA
103498,PANEL,ML7 Series,PANEL THERMO ML700 SWIM LED,55221-01,CTP0016,1096,SUNDANCE SPAS INC - CA
103498,PANEL,ML9 Series,PANEL THERMO ML900 10FT E12,53366-03,,1096,SUNDANCE SPAS INC - CA
103498,PANEL,VL4 Series (for Duplex systems),PANEL THERMO VL404 1900D DIGDUP,51403,51403,1096,SUNDANCE SPAS INC - CA
103498,PANEL,spaTouch,PANEL: LCD 880 2016 V2.13,6600-340,6600-340,1096,SUNDANCE SPAS INC - CA
103498,PANEL,spaTouch,PANEL: LCD 880 EXPORT 2016 V2.13,6600-344,6600-344,1096,SUNDANCE SPAS INC - CA
103498,PANEL,spaTouch,PANEL: LCD 980 2016,6600-345,6600-345,1096,SUNDANCE SPAS INC - CA
103498,PANEL,TP Series,PANEL: LCD J300 2016 1PUMP V1.01,6600-341,6600-341,1096,SUNDANCE SPAS INC - CA
103498,PANEL,TP Series,PANEL: LCD J300 2016 2PUMP V1.01,6600-339,6600-339,1096,SUNDANCE SPAS INC - CA
103498,PANEL,spaTouch,PANEL: LCD J400 2016 EXP V2.14,6600-769,6600-769,1096,SUNDANCE SPAS INC - CA
103498,PANEL,spaTouch,PANEL: LCD J400 2016 V2.14,6600-760,6600-760,1096,SUNDANCE SPAS INC - CA
103498,PANEL,spaTouch,PANEL: LCD J500 2015 V.1.15,6600-100,6600-100,1096,SUNDANCE SPAS INC - CA
103498,PANEL,spaTouch,PANEL: LCD J500 2016 V1.15,6600-347,6600-347,1096,SUNDANCE SPAS INC - CA
103498,PUMP,Ultimax (UM),1.5HP 2SP 115V 60HZ NB1,6500-345,6500-345,0366,SUNDANCE SPAS INC - CA
103498,PUMP,Ultimax (UM),2.5 HP 1SP 230V 60HZ NB1,6500-341,6500-341,0366,SUNDANCE SPAS INC - CA
103498,PUMP,Ultimax (UM),2.5 HP 2SP 230V 60HZ NB1,6500-343,6500-343,0366,SUNDANCE SPAS INC - CA
103498,PUMP,Dura Jet (DJ),DJ SI 2.0HP 2S 43FT MBHV BULK,1025009,01562-45DE,0366,SUNDANCE SPAS INC - CA
103498,PUMP,Dura Jet (DJ),DJ SPA PUMP 3.6HP 2S230V NO CO,DJAYGB-9173D,01562-39C,0366,SUNDANCE SPAS INC - CA
103498,PUMP,Dura Jet (DJ),SPA PUMP 1.5HPR 115V 2SPD,DJAYEA-0111,,0366,SUNDANCE SPAS INC - CA
103498,PUMP,Dura Jet (DJ),SPA PUMP 3.6HP 230V1-SPD NO CO,DJAGB-0173D,01562-40,0366,SUNDANCE SPAS INC - CA
103498,PUMP,Dura Jet (DJ),SPA PUMP 4-.38HP 230V2SPW/3 FT,DJAAYGB-3113,01562-23A,0366,SUNDANCE SPAS INC - CA
103498,PUMP,Ultima (UL),UL USM 1HP 2S R3 LV 60Hz 53AMP,1014210,,0366,SUNDANCE SPAS INC - CA
103498,PUMP,Ultima Plus (UP),UP AO 2.0HP 2S 36FT MBHV BULK,1015009,6500-217,0366,SUNDANCE SPAS INC - CA
103498,CONTROLLER,BP2100 CE,CONTROLLER: 880 2PMP 50HZ W/HTR V1.25,6600-771,6600-771,1096,SUNDANCE SPAS INC - CA
103498,CONTROLLER,BP2100 CE,CONTROLLER: 880 2PMP 60HZ W/HTR V1.24,6600-770,6600-770,1096,SUNDANCE SPAS INC - CA
103498,CONTROLLER,BP2100 CE,CONTROLLER: 880 3PMP 50HZ W/HTR V1.24,6600-773,6600-773,1096,SUNDANCE SPAS INC - CA
103498,CONTROLLER,BP2100 CE,CONTROLLER: 880 3PMP 60HZ W/HTR V1.24,6600-772,6600-772,1096,SUNDANCE SPAS INC - CA
103498,CONTROLLER,BP2100 CE,CONTROLLER: 980 2PMP BL 50HZ,6600-788,,1096,SUNDANCE SPAS INC - CA
103498,CONTROLLER,BP2100 CE,CONTROLLER: 980 2PMP BL 60HZ,6600-787,6600-787,1096,SUNDANCE SPAS INC - CA
103498,CONTROLLER,BP2100 CE,CONTROLLER: J300 1P 50HZ BLB 2016 V1.23,6600-775,6600-775,1096,SUNDANCE SPAS INC - CA
103498,CONTROLLER,BP2100 CE,CONTROLLER: J300 1P 60HZ BLB 2016 V1.23,6600-776,6600-776,1096,SUNDANCE SPAS INC - CA
103498,CONTROLLER,BP2100 CE,CONTROLLER: J300 2P 50HZ BLB 2016 V1.23,6600-414,6600-414,1096,SUNDANCE SPAS INC - CA
103498,CONTROLLER,BP2100 CE,CONTROLLER: J300 2P 60HZ BLB 2016 V1.23,6600-413,6600-413,1096,SUNDANCE SPAS INC - CA
103498,CONTROLLER,BP2100 CE,CONTROLLER: J400 2P 50HZ WHTR V1.23 (14),6600-762,6600-762,1096,SUNDANCE SPAS INC - CA
103498,CONTROLLER,BP2100 CE,CONTROLLER: J400 2P 60HZ WHTR V1.23 (14),6600-761,6600-761,1096,SUNDANCE SPAS INC - CA
